categoria,titulo,subtitulo
"Desporto","Marcel Kittel é o primeiro camisola amarela da 101.ª ediçao","O ciclista alemao Marcel Kittel (Giant-Shimano) venceu hoje a primeira etapa da 101.ª Volta a França, no final de 190,5 quilometros entre Leeds e Harrogate, no Reino Unido, sendo o primeiro camisola amarela desta ediçao."
"Desporto","Gil Vicente começou trabalho de campo com 18 jogadores","A equipa de futebol do Gil Vicente iniciou hoje os treinos de campo com uma sessao realizada no Estádio Adelino Ribeiro Novo, local onde decorrerá toda a preparaçao e os jogos particulares de pré-época."
"Pais","ACP oferece carta a quem foi preso por guiar sem ela","A escola de conduçao Automovel Clube de Portugal (ACP) oferece todos os anos a carta de conduçao a cinco reclusos que cumprem pena de prisao por guiarem sem o titulo. Esta oferta, lê-se no Expresso, faz parte de uma parceria com o Ministério da Justiça."
"Pais","Conheça o perfil do escolhido para suceder Ricardo Salgado no BES","O economista Vitor Bento, hoje proposto como presidente executivo do Banco Espirito Santo (BES), tem 60 anos, é membro do Conselho de Estado e foi presidente do Instituto de Gestao do Crédito Publico (IGCP)."
"Economia","Vitor Bento, o aspirante a ministro que agora lidera o BES","Vitor Bento é o novo lider do Banco Espirito Santo (BES). O atual presidente da SIBS aceitou o convite feito esta sexta-feira e assume agora a posiçao que pertencia a Ricardo Salgado, confirmou a TSF. Com Bento na liderança, o cargo de administrador financeiro ficará nas maos de Joao Moreira Rato, que abandona assim a presidência da agência que gere a divida publica, o IGCP."
"Mundial 2014","Falcao junta-se aos colombianos nas criticas a Carlos Carballo","O avançado colombiano Falcao juntou-se aos seus companheiros de seleçao nas criticas ao árbitro espanhol Carlos Velasco Carballo, apos a eliminaçao da Colômbia nos quartos de final do Mundial de futebol."
"Cultura","Stranglers, Guano Apes e Blind Zero em Vilar de Mouros","As bandas Stranglers, Guano Apes e Blind Zero regressam este ano a Vilar de Mouros depois de oito anos de ausência do festival, anunciou a organizaçao através da sua página nas redes sociais."
"Fama","Sai do The Voice porque o programa tornou-se num emprego","O cantor CeeLo decidiu abandonar o programa The Voice americano porque considera que a sua participaçao como jurado tornou-se num emprego que lhe estava a dar demasiadas obrigações."
"Desporto","Estátua de Messi vandalizada em Buenos Aires","Uma estátua do futebolista argentino Lionel Messi foi hoje vandalizada em Buenos Aires, informaram hoje os meios de comunicaçao argentinos, no dia em que a seleçao deste pais enfrenta a Bélgica nos quartos de final do Mundial2014."
"Desporto","Di Stéfano internado e em estado muito grave","O presidente honorário do Real Madrid Alfredo di Stéfano está internado em estado considerado muito grave depois de ter registado uma paragem cardiaca, revela o jornal o Jogo."
"Mundo","Resgatados mais de 73 mil ilegais em 8 meses","As autoridades italianas resgataram e identificaram 73.686 imigrantes ilegais nos ultimos oito meses, que tentavam entrar na Europa vindos da regiao do Magrebe e da áfrica subsaariana."
"Economia","Aplicaçao informática vai melhorar atendimento publico","O ministro adjunto e do Desenvolvimento Regional garantiu hoje que o atendimento da administraçao publica com os cidadaos será melhorado este mês, com a entrada em funcionamento de uma nova aplicaçao informática."
"Economia","Tradições e alterações climáticas sao riscos para a vinha do Pico","Um dos principais riscos que enfrenta o patrimonio da vinha da ilha do Pico sao as alterações climáticas, a par da perda de tradições, afirmou Elisabeth Silva, membro da comissao nacional da Unesco."
"Running","Sexta Milha Verde",?
"Economia","José Honorio vice-presidente do BES","(em desenvolvimento)"
"Desporto","Kvitova bisa em Wimbledon","Checa conquistou o segundo titulo em Wimbledon, depois de vencer Eugenie Bouchard."
"Fama","Nasri: noite, festa e polémica","Médio francês ficou fora do Mundial, mas aproveita as férias para se divertir com a companheira, também dada a tiradas controversas."
"Economia","Vivafit quer 500 ginásios na india nos proximos cinco anos","A cadeia de ginásios femininos Vivafit associou-se a um grupo indiano para abrir 500 novos espaços na india em cinco anos, sendo o investimento feito por proprietários locais, segundo o presidente executivo da marca portuguesa."
"Desporto","Nico Rosberg conquista pole position do GP Gra-Bretanha","O piloto alemao Nico Rosberg (Mercedes) conquistou hoje a pole position para o Grande Prémio da Gra-Bretanha, nona prova do Campeonato do Mundo de Formula 1, que se disputa no domingo, ao ser o mais rápido na qualificaçao."
"Pais","Portugal recebe grupo de trabalho da NATO na proxima semana","A base naval do Alfeite vai receber entre segunda e sexta-feira o grupo de trabalho da NATO (Organizaçao do Tratado do Atlântico Norte) especializado em operações anfibias (AMPHIBOPSWG), segundo comunicado de hoje da Marinha portuguesa."
"Pais","Municipios do Médio Tejo vao elaborar Carta de Saude Regional","Os treze municipios da Comunidade Intermunicipal do Médio Tejo (CIMTEJO), preocupados com a qualidade da oferta ao nivel dos cuidados de saude, anunciaram hoje a aprovaçao por unanimidade da criaçao de uma Carta de Saude Regional."
"Politica","Convidado para comissário europeu é o ultimo a saber","O presidente do Conselho Economico e Social (CES) Silva Peneda escusou-se hoje a concretizar se aceitaria um convite para ser comissário europeu, situaçao que disse depender do primeiro-ministro, da Comissao Europeia e do convidado que é o ultimo a saber."
"Tech","Já é possivel pedir táxi ‘de luxo’ através de uma App","Ser transportado num topo de gama, com atendimento personalizado, dispensando chamadas telefonicas e so com um clique no telemovel era tudo o que desejava? Pois bem, já é possivel. Pelo menos em Lisboa, com a chegada da Uber pode ter um motorista de atendimento personalizado."
"Mundo","Pro-russos acusam Putin de lhes dar falsas esperanças","Um dos lideres da autoproclamada Republica Popular de Donetsk, Denis Pushilin, criticou hoje o presidente russo, Vladimir Putin, por recusar intervir militarmente no sudeste da Ucrania e dar esperança aos separatistas para depois os abandonar."
"Pais","Homem morre em despiste de motociclo no concelho de Ourique","Um homem de 44 anos morreu hoje na sequência do despiste de um motociclo no IC1, junto à Aldeia de Palheiros, no concelho de Ourique, disse à agência Lusa fonte da GNR."
"Desporto","Bahia anuncia transferência do médio Talisca para o Benfica","A equipa de futebol brasileira do Bahia anunciou hoje a transferência do médio Anderson Talisca para o Benfica, referindo que o negocio foi efetuado a troco de quatro milhões de euros."
"Fama","Cameron Diaz mostra o corpo e diz que nao quer filhos","A atriz mostrou que aos 41 anos está em forma ao posar com pouca roupa para a revista Esquire. Cameron Diaz é a capa da ediçao de agosto e ousadia nao lhe falta."
"Politica","Silva Peneda considera inevitável compromisso politico","O presidente do Conselho Economico Social (CES), Silva Peneda, defendeu hoje que para solucionar os atuais problemas do pais é inevitável um compromisso entre as várias forças politicas."
"Economia","Empresa quer 70 milhões de euros do proximo quadro comunitário","O agrupamento europeu territorial AECT Duero/Douro, que reune 208 entidades portuguesas e espanholas, aprovou hoje um plano de investimentos de 70 milhões de euros, para candidatar ao proximo quadro comunitário de apoio."
"Mundial 2014","Argentina nas meias-finais depois de vencer Bélgica","A Argentina apurou-se hoje para as meias-finais do Mundial de futebol, ao vencer a Bélgica com um golo solitário de Gonzalo Higuain, em jogo disputado no Estádio Nacional de Brasilia."
"Mundo","Angola discute situaçao critica na Republica Centro-Africana","Vários governantes africanos reunem-se segunda-feira em Adis Abeba, Etiopia, para definir um plano de atuaçao face à situaçao critica na Republica Centro-Africana (RCA), informou hoje fonte da diplomacia angolana, que também estará representada neste encontro."
"Mundo","Onze pessoas morreram em acidente com aviao","Onze pessoas morreram e uma ficou ferida num acidente com um aviao de um clube de paraquedismo, perto de Czestochowa, no sul da Polonia, disse à Agência France Presse (AFP) uma porta-voz dos serviços de emergência locais."
"Desporto","Benfica realizou o primeiro treino da nova temporada","A equipa de futebol do Benfica realizou hoje o primeiro treino da nova época no Centro de Estágio do Seixal, depois dos dois primeiros dias terem sido dedicados a exames médicos e testes fisicos."
"Mundial 2014","FIFA está a analisar lance de Zuñiga com Neymar","A FIFA está a analisar a falta cometida pelo colombiano Camilo Zuñiga, que deixou o brasileiro Neymar fora do Mundial2014 de futebol, devido a uma vértebra fraturada, anunciou hoje uma porta-voz do organismo."
"Portugal","Antonio José Seguro pede reuniao a Carlos Costa sobre sistema bancário ","O Banco de Portugal veio mesmo a publico assegurar que o BES se encontra numa situaçao de solvabilidade solida e que estava a acompanhar de perto a situaçao no banco"
"Portugal","Tubarao-tintureira avistado em praias no concelho de Grândola","Fonte da Policia Maritima de Setubal disse que, assim como chegou, o animal foi-se embora da linha de praia, sem necessidade de intervençao de meios"
"Dinheiro","Vivafit quer 500 ginásios na india nos proximos cinco anos","A cadeia Vivafit conta com seis ginásios na india e está a concluir obras noutros três, em regime de ‘franchising’"
"Portugal","Maria Joao Rodrigues admite ao i vontade de ser comissária europeia: “Estou particularmente preparada”","A eurodeputada gostaria de ficar com uma pasta ligadaà área economica e social, onde tem provas dadas"
"Mundo","Jovem palestiniano assassinado foi queimado vivo","A violência alastrou hoje a três localidades árabe-israelitas no centro e nordeste de Israel."
"Mundo","Onze pessoas morreram em acidente com aviao na Polonia","O aviao, um Piper Navajo, descolou do aeroporto de Rudniki, perto de Czestochowa, levando a bordo onze paraquedistas e o piloto, de acordo com testemunhos recolhidos pela AFP"
"Portugal","Conselho de Estado. Silva Peneda considera inevitável compromisso politico","Durante a sua intervençao na conferência apresentou como “soluções” para o pais o desenvolvimento de estratégias e politicas “de médio prazo”, coerentes “entre si e com uma visao (…) que crie entusiasmo”"
"Dinheiro","Agências de rating já estao atentas à Oi","Precisamos de determinar se este acontecimento pode afectar o timing e termos da fusao com a PT e se há potencial adicional de risco no governo corporativo devido a estes desenvolvimentos”, diz a agência"
"Desporto","Benfica realizou o primeiro treino da nova temporada","A equipa orientada por Jorge Jesus trabalhou hoje com bola pela primeira vez na nova época, com o plantel a efetuar também uma série de exercicios especificos no relvado do Centro de Estágio"
"Mais","Percurso pedonal em Lisboa ganha prémio de arquitectura em Barcelona","O trabalho de Joao Pedro Falcao e Campos integrava uma seleçao de 60 obras, escolhida de 381 apresentadas a concurso, que, de acordo com o juri, se afastam do culto do objeto e servem com rigor o lugar e suas condicionantes"
"Mais","Jesse Eisenberg. Sinto-me desconfortável a ver filmes desde que comecei a representar ","Em Night Moves o actor norte-americano interpreta um activista. O filme tem antestreia hoje no Curtas Vila do Conde e quinta-feira chega às salasO que o interessou no papel de Josh? Para interpretar um activista, esteve em contacto com alguém destas comunidades no Oregon? "
"Desporto","Mundial 2014. Argentina nas meias-finais depois de vencer Bélgica","Na quarta-feira, em Sao Paulo, a Argentina vai disputar o acesso à final com o vencedor do jogo de hoje entre a Holanda e a Costa Rica"
"Sur","Vasco Ribeiro e Tessa Thyssen vencem Espinho Surf Destination","Teresa Bonvalot vice-campea da prova feminina"
"Mundo","Papa diz que o desemprego significa a perda da dignidade humana","O papa defendeu a importância da formaçao universitária dos jovens, como preparaçao para responder às exigências do mercado laboral na atual situaçao de crise economica"
"Portugal","BE acusa governo de partidarizar o BES ","Vitor Bento será uma escolha consensual dos dois maiores acionistas do BES, o Espirito Santo Financial Group (ESFG), que conta com 25% do capital do banco, e o grupo francês Crédit Agricole, que detém uma fatia de 15%"
"Surf","Atlantic Surf Fest regressa à Praia de Canidelo ","O evento realiza-se nos dias 5 e 6 de Julho e a entrada é livre"
"Dinheiro","Japao aprova levantar restrições de viagens e remessas à Coreia do Norte","Apos reuniao do gabinete, o Governo de Shinzo Abe considerou que o comité que a Coreia do Norte formou para estudar os sequestros está suficientemente capacitado para os resolver"
"Mundo","Autoridades de Itália resgataram mais de 73 mil ilegais em 8 meses","O militar italiano disse que o custo destas operações de carater humanitário ascende a “entre seis e nove milhões de euros por mês”"
"Running","3ª Corrida Joao Lourenço","A 3ª Corrida Joao Lourenço terá um percurso de 11,8km com inicio na Várzea "
"Dinheiro","Câmara de Sao Brás de Alportel quer regime de excepçao para contrataçao de pessoal","Vitor Guerreiro contou que quando um funcionário do serviço de recolha de residuos entra de baixa médica o camiao de recolha nao pode funcionar e o municipio tem de contratar uma empresa privada, situaçao que disse ser mais dispendiosa"
"Tecnologia","Samsung Galaxy Tab S à venda a partir de 11 de Julho",?
"Mais","Um Coraçao Normal. O pesadelo da sida começou assim","Com 1,4 milhões de espectadores na estreia na HBO, o telefilme que retrata o inicio da propagaçao do virus nos EUA chega hoje a Portugal, através do TV Cine 1"
"Mais","Livro de Pierre Lemaitre sobre a Grande Guerra lançado em Portugal ","Ao longo do romance, nao sao raras as vezes em que a narrativa é quase uma conversa com o leitor, sobretudo nos episodios mais agitados como a batalha"
"Desporto","Nélson Évora perto dos 17 metros e do podio do meeting de Paris da Liga Diamante","Desde 2011 que Nélson Évora nao salta tanto "
"Running","RunningApps: As sugestões da semana do iRunning #34",?
"Mais","Turistas de todo mundo atribuem “Excelência” a dois “ex-libris” de Viana ","Também conhecido como funicular de Santa Luzia, o elevador, propriedade da Câmara, liga a cidade ao topo da montanha com o mesmo nome"
"Surf","Tiago Pires. Ainda está para acontecer aquele resultado que me vai dar muita confiança","Desde 2008 no circuito mundial, Saca reconhece que os tempos sao de mudança e acredita que isso é positivo para a modalidadeJá estás melhor da tua lesao?  Foi um fim de época complicado, sem teres a certeza se ias ou nao voltar a competir. O que te passou pela cabeça? E aqui estás, de regresso... "
"Desporto","Di Stéfano com paragem cardiaca internado em estado grave","Alfredo Di Stéfano já tinha sofrido um enfarte em 2013"
"Desporto","Mundial 2014. Neymar fora do Campeonato do Mundo devido a fractura de uma vértebra","O Brasil apurou-se na sexta-feira para as meias-finais da prova que organiza e vai defrontar, na terça-feira, a Alemanha em Belo Horizonte"
"Dinheiro","Ministro do ambiente quer alocar 500 milhões de euros para a reabilitaçao urbana ","Segundo o ministro, “nos fundos europeus [para] Portugal 2020 estao previstas verbas para actividades de eficiência energética na habitaçao (…) que poderao totalizar cerca de 500 milhões de euros”"
"Mundo","Silva Peneda diz que convidado para comissário europeu é o ultimo a saber","Questionado sobre se estaria disponivel para aceitar tal cargo, respondeu que “depende de muitas coisas, até do dia em que for convidado”"
"Tecnologia","MailTrack diz-lhe se os seus e-mails foram lidos ou nao",?
"LiV","Poesia. O bluff sem mestre,ou a oclusao de Herberto Helder ",?
"Surf","Vasco Ribeiro foi o maior destaque do segundo dia de competiçao","Cinco portugueses avançam para as fases finais"
"Mais","Parque Marechal Carmona ganha certificado de excelência 2014 do TripAdvisor ","O TripAdvisor premia a excelência no setor de hospitalidade em todo o mundo e oferece dicas confiáveis de visitantes"
"Surf","Jobe Hariss e Lucia Martino destacam-se no primeiro dia de competiçao"," Dezasseis surfistas portugueses encontram-se na segunda fase"
"LiV","A dieta do prazer. Faltava uma sobremesa fresca",?
"Running","XIV Milha Urbana de Santo Tirso","A XIV Milha Urbana de Santo Tirso terá um percurso de 1,6km com inicio e chegada na Avenida Sousa Cruz, em frente ao Mercado Municipal de Santo Tirso"
"Viagens","Dez desculpas para uma escapadela",?
"Mundo","Uso excessivo do Twitter prejudica casamento, segundo estudo","O Twitter é uma rede que permite mandar mensagens rápidas, conhecidos como tweets, para um conjunto de seguidores"
"Running","Ácidos gordos essenciais, omega-3 e desporto","Pela especialista running em nutriçao desportiva* "
"Viagens","Oito vulcões em actividade que pode visitar ",?
"LiV","Dia das Bibliotecas: a confusao está instalada!","No seu amor às bibliotecas, os portugueses sao inexcediveis. Todos preferem editar um livro a ler um já impresso. Nao estragam estes e crescem as estantes. Mas afinal quando é o Dia Mundial das Bibliotecas? "
"Mais","Zmar galardoado. Trip Advisor entrega prémio de Certificado de Excelência 2014","Localizado na Costa Vicentina, o Zmar é composto por 81 hectares de ecoturismo"
"Mundo","Facebook criticado por estudo feito com ética duvidosa","“Baseada na informaçao dada pelos autores, aos editores da PNAS pareceu apropriado publicar o estudo”, declarou, em comunicado, o editor-chefe, Inder Verma"
"Portugal","Portugal recebe grupo de trabalho da NATO entre segunda e sexta-feira",?
"Desporto","Mundial 2014. Estátua de Messi vandalizada em Buenos Aires","A Argentina enfrenta hoje a Bélgica, a partir das 17:00 (horas de Lisboa), no Estádio Nacional de Brasilia, num encontro dos quartos de final do Mundial de futebol de 2014"
"LiV","Literatura. Um roteiro pelo Reino Unido, à boleia dos grandes mestres ",?
"Tecnologia","Empresa quer fazer do Google Chromecast uma alternativa à Wii",?
"Desporto","Wimbledon. Petra Kvitova campea pela segunda vez","Campea em 2011, a numero seis mundial precisou de apenas 55 minutos para impedir a 13.ª cabeça de série de se tornar na primeira canadiana da historia a vencer um dos “majors” do calendário do ténis"
"Dinheiro","Moreira Rato substitui Morais Pires no BES","Já hoje foi avançado o nome de Vitor Bento para substituir Salgado na liderança do BES"
"Portugal","Quase todo o pais em risco alto e muito alto de exposiçao à radiaçao UV ","Segundo a informaçao disponivel no site do IPMA, os distritos de Aveiro, Coimbra, Leiria e Lisboa apresentam risco “alto” de exposiçao à radiaçao ultravioleta"
"Portugal","Três ex-presidentes felicitaram Carlos do Carmo pelo Grammy","“Nao sinto falta”, diz o fadista sobre o silêncio de Belém em relaçao à distinçao que recebeu esta semana"
"Mundo","Casillas irritado com comentário no Instagram","Numa fotografia em que aparece Sara Carbonero, namorada do espanhol, com o filho de ambos, um utilizador desta rede social escreve atira-o para a água e vê se flutua”"
"Portugal","Morreu o filho de Judite Sousa","André Sousa Bessa tinha 29 anos"
"Portugal","Francisco Goiana da Silva. “Olho para o SNS e vejo 500 oportunidades de mudança”","Médico de 24 anos convenceu a directora da Organizaçao Mundial de Saude de que Portugal é o sitio ideal para acabar com elitismo na saude"
"Mais","Zinedine Santos. Criança brasileira tem nome de sete jogadores franceses","Zinedine Yazid Zidane Thierry Henry Barthez Eric Felipe Silva Santos. A criança ainda nao sabe dizer o nome completo"
"Desporto","Enzo reconhece que errou mas diz que nao se referia a Portugal","O médio argentino do Benfica desculpou-se através de um comunicado, vincando que se referia apenas a algumas coisas que têm sido escritas sobre o seu futuro"
"Mais","Bruno Nogueira e Beatriz Batarda vao ser pais ","Esta será a primeira filha de Bruno Nogueira"
"Mundo","Dois aviões da Ryanair bateram no aeroporto de Stansted","Nao houve feridos"
"Portugal","Namorada de André Sousa Bessa deixa mensagem no facebook","O velorio de André Sousa Bessa realiza-se esta segunda feira, na Igreja do Colégio de Sao Joao de Brito, em Lisboa"
"Desporto","Morreu o jornalista Rui Tovar","Jornalista estava internado no Hospital de Santa Maria devido a problemas cardiacos"
"Portugal","Costistas criticam fundador do PS por ser “instável”","Alfredo Barroso confessa que está “desiludido” com Antonio Costa"
"Portugal","Ganhar um Grammy nao dá direito a felicitações de Belém ","Ao contrário do que é habitual, o Grammy atribuido ao fadista Carlos do Carmo nao mereceu até agora os parabéns publicos de Belém"
"Mais","Espectadores “ansiosos” por corrida de aeronaves em Cascais ","O circuito será delimitado por infraestruturas proprias a 25 metros do mar e as voltas, num total de dez, serao muito rápidas"
"Portugal","Meio milhao de pessoas esperadas este fim de semana em Cascais para corrida de aeronaves ","Aguiar-Branco considerou ainda a iniciativa muito importante por ser uma forma de as Forças Armadas poderem mostrar a sua polivalência e a sua vertente de serviço publico"
"Desporto","Enzo Pérez insulta jornalistas portugueses","O jogador argentino recusou falar com o jornalistas portugueses na zona mista depois do jogo Argentina-Suiça"
"Mundo","Grávida chinesa cai no metro e sobrevive deitando-se entre os carris ","Um  passageiro de outro comboio registou o momento em que a mulher sai debaixo da carruagem, sao e salva. Veja as imagens"
"Dinheiro","Continua a tempestade no BES ",?
"Mundo","Casillas e Carbonero no Algarve","As férias duraram apenas três dias por motivos profissionais"
"Portugal","Judite de Sousa agradece mensagens de apoio pela morte do filho","A TVI vai analisar a ausência de Judite de Sousa nos proximos dias"
"Mais","Apresentadora de TV pede Harry em casamento","Tudo se passou no Chile"
"Portugal","MP investiga morte do filho de Judite de Sousa","André Sousa Bessa foi encontrado numa piscina, na qual esteve submerso durante cerca de 15 minutos"
"Tecnologia","BlackPhone começa a ser comercializado em Julho","Chama-se BlackPhone e é um smartphone que corre um sistema operativo baseado em Android (PrivatOS). Já começou a chegar aos seus primeiros utilizadores"
"Desporto","Nova caricatura da selecçao da Colômbia causa protesto","Desde o inicio do Mundial 2014, é a terceira vez que acontece um incidente deste género"
"Portugal","Ordem dos Engenheiros considera inaceitável atuaçao da ACT na barragem do Tua","Fernando de Almeida Santos garantiu que a Ordem tem tido o cuidado de visitar as poucas obras de alguma dimensao que estao a ser feitas em Portugal, e que a de Foz Tua tem exemplos de segurança unicos na Europa"
"Dinheiro","Ricardo Salgado comprou dois milhões de acções da EDP durante a privatizaçao",?
"Portugal","PS com três novos deputados ","Zorrinho, Assis e Silva Pereira deixam hoje a Assembleia da Republica e vao para Bruxelas. Serao substituidos por Celeste Correia, Ivo Oliveira e Bravo Nico"
"Mundo","Pesadelo. 60% dos restaurantes ajudados por Gordon Ramsay estao falidos","Gordon Ramsay anunciou na semana passada o fim de Kitchen Nightmares"
"Mundo","Fidel Castro tinha uma ilha particular e um aquário de golfinhos","Revelações sao feitas por um dos ex-guarda-costas "
"Mundial 2014","Dilma Rousseff elogiatalento, garra e espirito de luta da seleçao","A presidente do Brasil, Dilma Rousseff, elogiou hoje o talento, garra, espirito de luta e capacidade de superaçao da seleçao no Mundial de futebol, considerando que o pais tem a mais linda e aguerrida das equipas."
"Economia","Passos sublinha caráter tecnocrático da nova administraçao proposta","O primeiro-ministro, Pedro Passos Coelho, afirmou hoje que o caráter tecnocrático e profissional da nova administraçao do BES poderá ajudar a distinguir o grupo Espirito Santo do banco com o mesmo nome, sendo um fator de estabilizaçao e confiança."
"Dinheiro","BES. Passos sublinha carácter tecnocrático e profissional da nova administraçao proposta ","Passos Coelho disse ainda que o Governo está descansado com o nosso sistema financeiro e que nunca ninguém ouviu do governante uma palavra de desconforto com o que se passa a esse nivel"
"Mundo","Dubai anuncia construçao do maior centro comercial do mundo","O Dubai apresentou hoje um projeto para construir o maior centro comercial do mundo, com uma superficie superior a 740.000 metros quadrados e com capacidade para receber 180 milhões de pessoas por ano."
"Economia","BES pode ter administraçao que tem um caráter tecnocrático","O primeiro-ministro, Pedro Passos Coelho, afirmou hoje que o caráter tecnocrático e profissional da nova administraçao do BES poderá ajudar a distinguir o grupo Espirito Santo do banco com o mesmo nome, sendo um fator de estabilizaçao e confiança."
"Mundial 2014","Dilma Rousseff elogia talento, garra e espirito de luta da seleçao","A presidente do Brasil, Dilma Rousseff, elogiou hoje o talento, garra, espirito de luta e capacidade de superaçao da seleçao no Mundial de futebol, considerando que o pais tem a mais linda e aguerrida das equipas."
"Pais","Furto de arte sacra em igreja de Galveias","Um furto de arte sacra na igreja da Misericordia, em Galveias, no concelho de Ponte de Sor, foi hoje denunciado à GNR, disse à agência Lusa fonte desta força de segurança."
"Mundo","india é o primeiro pais a impedir a importaçao de foie gras","A india acaba de proibir a importaçao de foie gras, uma iguaria que é conseguida sujeitanto gansos e patos a práticas bastante dolorosas. Para a organizaçao Igualdade Animal é mais um passo na luta contra os maus tratos aos animais, refere o El Pais."
"Desporto","Nélson Évora com máximo pessoal do ano no triplo salto","Saltador do Benfica pulou 16,97 metros no Meeting de Paris e terminou a prova na quarta posiçao."
"Mundial 2014","Tiraram-me o sonho de disputar a final do Mundial","Avançado brasileiro mostra-se triste pela lesao contraida no jogo com a Colômbia e que o afasta do que resta do Campeonato do Mundo"
"Mundo","Dubai anuncia construçao do maior centro comercial do mundo","O projeto inclui um parque infantil coberto, zonas de teatros e outros eventos culturais, centros de saude e postos turisticos ligados a mais de 100 hotéis, tudo climatizado"
"Tech","Faceboi promete dizer-lhe se está a ser traido","A aplicaçao nao é muito conhecida, mas o tema é recorrente. Com o apogeu das redes sociais multiplicam-se as plataformas de contactos entre invididuos e há quem tenha duvidas sobre a lealdade do seu parceiro. Pois bem, apresentamos-lhe o Faceboi, uma aplicaçao (so para homens) que promete dizer-lhe se tem razões para desconfiar da sua companheira."
"Economia","PS pede reuniao a Carlos Costa sobre sistema bancário","O secretário-geral do PS, Antonio José Seguro, pediu uma reuniao ao governador do Banco de Portugal sobre a situaçao do sistema bancário português, disse hoje à Agência Lusa fonte oficial dos socialistas."
"Economia","A renegociaçao da divida nesta altura nao tem razao de ser","O primeiro-ministro, Pedro Passos Coelho, rejeitou hoje a renegociaçao da divida de Portugal, considerando que nesta altura nao tem razao de ser e que seria um problema que o pais nao precisa de enfrentar."
"Portugal","IPMA prevê chuva para domingo, o ultimo dia molhado pelo menos até dia 15","A partir de segunda-feira e até, pelo menos 15 de julho, “nao se prevê precipitaçao”"
"Mundial 2014","Brasil nao joga com qualidade","Treinador do Chelsea até aposta na seleçao de Scolari para a conquista do titulo, mas é de opiniao que o futebol praticado nao acompanha a qualidade dos seus jogadores."
"Fama","Sara Sampaio corrige sorriso que nao a deixava “à vontade”","Sara Sampaio é habitualmente noticia por aparecer nas mais importantes revistas e passerelles mundiais. Porém, tal como grande parte de nos, a manequim portuguesa tem partes do seu corpo com as quais nao se sente bem e, por isso, decidiu fazer um tratamento dentário. No Facebook, a portuense deixou algumas imagens do tratamento a que se submeteu."
"Dinheiro","A renegociaçao da divida nesta altura nao tem razao de ser","Passos Coelho falou ainda de uma indicaçao e estimativa de encargos novos - à volta dos 100 milhões de euros - que podem estar associados a instituições"
"Pais","Criança atropelada com gravidade em Meda","Uma criança foi hoje atropelada com gravidade, na cidade de Meda, por uma viatura ligeira, disse hoje à agência Lusa fonte do Comando Distrital de Operações de Socorro (CDOS) da Guarda."
"Pais","Queda num buraco provoca um ferido grave","Uma pessoa sofreu hoje ferimentos graves ao cair num buraco com cerca de dois metros de profundidade, no concelho de Torres Novas, disse à agência Lusa fonte do Comando Distrital de Operações de Socorro de Santarém."
